class,most_common_predicted,confidence,accuracy,n_samples
0,0,0.9867,0.9867,150
1,1,0.9868,0.9868,76
2,1,0.5,0.0,4
3,3,0.9195,0.9195,236
4,4,0.6887,0.6887,106
5,5,0.9612,0.9612,206
6,6,1.0,1.0,79
7,7,1.0,1.0,248
8,8,0.977,0.977,87
9,41,0.4426,0.2131,61
10,10,0.9955,0.9955,222
11,11,0.6403,0.6403,139
12,12,0.84,0.84,25
13,13,0.9965,0.9965,289
14,14,0.8319,0.8319,113
15,15,0.959,0.959,195
16,16,1.0,1.0,187
17,17,0.9351,0.9351,185
18,41,0.7419,0.0,62
19,19,0.5769,0.5769,234
20,20,0.9919,0.9919,124
21,21,0.7123,0.7123,146
22,8,0.873,0.0952,63
23,33,0.3509,0.0,57
24,24,0.9908,0.9908,218
25,25,0.9583,0.9583,72
26,26,0.8939,0.8939,66
27,25,0.6667,0.0,6
28,28,0.9854,0.9854,205
29,52,0.4937,0.0506,79
30,30,0.9739,0.9739,153
31,31,0.8286,0.8286,70
32,32,1.0,1.0,86
33,33,0.5823,0.5823,79
34,34,0.9783,0.9783,46
35,36,0.6667,0.0,3
36,36,0.9123,0.9123,57
37,37,0.8636,0.8636,66
38,38,0.9804,0.9804,102
39,39,1.0,1.0,55
40,44,0.8738,0.0097,103
41,41,0.8769,0.8769,65
42,36,0.6667,0.0,3
43,43,0.6667,0.6667,36
44,44,0.9519,0.9519,187
45,45,0.9776,0.9776,134
46,47,0.3804,0.2609,92
47,47,0.9177,0.9177,158
48,48,0.2969,0.2969,64
49,49,0.7377,0.7377,122
50,50,0.5278,0.5278,72
51,41,0.8989,0.0112,89
52,52,0.8971,0.8971,68
53,34,0.8684,0.0,38
